arm,run,k,seed,step,loss,exact_support
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,12000,0.5624884366989136,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,2000,0.5628626346588135,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,4000,0.5618672370910645,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,6000,0.5629870891571045,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,8000,0.5624077916145325,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,10000,0.5618113875389099,0.0
Linear baselines (6 models),mkar_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,12000,0.5625811815261841,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,2000,0.5632038712501526,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,4000,0.5628604888916016,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,6000,0.5614961385726929,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,8000,0.5627386569976807,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,10000,0.562437891960144,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,12000,0.5612505674362183,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,2000,0.5632343888282776,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,4000,0.563515841960907,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,6000,0.5631533861160278,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,8000,0.5620088577270508,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,10000,0.562213122844696,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,12000,0.5625476837158203,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,2000,0.5632420778274536,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,4000,0.562049150466919,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,6000,0.562783420085907,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,8000,0.5624271631240845,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k2_plane_oracle_T1024_s2_sc3_id_fair2,2,2,10000,0.5618300437927246,0.0
